date,trial_num,is_stim,reach_time,reach_direction,rest_end,planning_end,reach_end
2021-09-22,2,0,164,left,500,887,1051
2021-09-22,3,1,216,down,500,935,1151
2021-09-22,4,0,661,down,500,874,1535
2021-09-22,5,0,172,up,500,944,1116
2021-09-22,6,0,274,up,500,911,1185
2021-09-22,7,0,96,right,500,954,1050
2021-09-22,8,0,152,left,500,965,1117
2021-09-22,9,0,161,down,500,990,1151
2021-09-22,10,0,218,up,500,982,1200
2021-09-22,11,0,117,right,500,984,1101
2021-09-22,12,0,327,left,500,941,1268
2021-09-22,13,0,651,up,500,800,1451
2021-09-22,14,1,214,right,500,887,1101
2021-09-22,15,0,256,right,500,912,1168
2021-09-22,16,0,359,left,500,775,1134
2021-09-22,17,0,531,up,500,820,1351
2021-09-22,19,0,140,left,500,977,1117
2021-09-22,20,0,237,right,500,847,1084
2021-09-22,21,1,362,up,500,771,1133
2021-09-22,22,0,447,down,500,753,1200
2021-09-22,23,0,331,right,500,752,1083
2021-09-22,24,1,144,down,500,938,1082
2021-09-22,25,1,279,down,500,821,1100
2021-09-22,26,0,367,down,500,783,1150
2021-09-22,27,1,285,right,500,784,1069
2021-09-22,28,0,271,left,500,846,1117
2021-09-22,29,1,140,left,500,877,1017
2021-09-22,30,1,227,down,500,839,1066
2021-09-22,31,1,152,left,500,998,1150
2021-09-22,32,0,198,down,500,902,1100
2021-09-22,33,1,309,left,500,807,1116
2021-09-22,34,0,317,up,500,783,1100
2021-09-22,35,0,141,left,500,958,1099
2021-09-22,36,0,227,right,500,989,1216
2021-09-22,37,1,390,up,500,846,1236
2021-09-22,38,0,211,down,500,922,1133
2021-09-22,39,0,272,left,500,828,1100
2021-09-22,40,1,468,up,500,801,1269
2021-09-22,41,0,174,right,500,925,1099
2021-09-22,42,1,374,up,500,845,1219
2021-09-22,43,0,338,down,500,813,1151
2021-09-22,44,0,253,down,500,847,1100
2021-09-22,45,1,285,up,500,983,1268
2021-09-22,46,0,356,up,500,810,1166
2021-09-22,47,0,179,up,500,937,1116
2021-09-22,48,1,218,down,500,950,1168
2021-09-22,52,0,340,right,500,877,1217
2021-09-22,53,0,313,right,500,756,1069
2021-09-22,54,1,277,right,500,907,1184
2021-09-22,55,0,242,up,500,909,1151
2021-09-22,56,1,338,down,500,780,1118
2021-09-22,57,1,234,down,500,799,1033
2021-09-22,58,1,187,right,500,913,1100
2021-09-22,59,0,101,left,500,948,1049
2021-09-22,60,1,332,up,500,836,1168
2021-09-22,61,1,424,up,500,842,1266
2021-09-22,62,0,226,down,500,908,1134
2021-09-22,63,0,135,up,500,1000,1135
2021-09-22,64,0,304,left,500,780,1084
2021-09-22,65,0,157,right,500,959,1116
2021-09-22,66,1,230,left,500,856,1086
2021-09-22,67,0,103,left,500,997,1100
2021-09-22,68,1,250,down,500,901,1151
2021-09-22,69,1,493,up,500,774,1267
2021-09-22,70,1,237,up,500,897,1134
2021-09-22,71,0,253,up,500,847,1100
2021-09-22,72,1,270,up,500,965,1235
2021-09-22,73,0,616,up,500,852,1468
